Run,Min ,Max ,Mean
1,0.2,0.873677759,0.590086422
2,0.2,0.891900762,0.553241657
3,0.2,0.998820343,0.679317035
4,0.2,0.963062451,0.640200454
5,0.2,0.967393635,0.558292448
6,0.2,0.942722478,0.621772165
7,0.2,0.857029693,0.594276627
8,0.2,0.911939718,0.670311517
9,0.2,0.97131876,0.662955202
10,0.2,0.936239215,0.67619942
11,0.2,0.965411088,0.668198982
12,0.2,0.9128646,0.560832486
13,0.2,0.890648976,0.58488197
14,0.2,0.940685075,0.656446834
15,0.2,0.989544408,0.643659198
16,0.2,0.926936991,0.53658756
17,0.2,0.901344538,0.529583124
18,0.2,0.990820617,0.62034755
19,0.2,0.884363396,0.558319503
20,0.2,0.9501175,0.645013925
21,0.2,0.847753061,0.55853667
22,0.2,0.981428751,0.603695529
23,0.2,0.980622855,0.654065578
24,0.2,0.932670861,0.623577351
25,0.2,0.899507035,0.658083946
26,0.2,0.935947034,0.572174317
27,0.2,0.909173385,0.555602608
28,0.2,0.98697771,0.668602109
29,0.2,0.96953359,0.644363693
30,0.2,0.9901864,0.577628539
31,0.2,0.926361374,0.577423265
32,0.2,0.943513776,0.582642352
33,0.2,0.988347666,0.672499854
34,0.2,0.983961578,0.677132473
35,0.2,0.821675089,0.513697552
36,0.2,0.893325344,0.521775498
37,0.2,0.990962337,0.696553806
38,0.2,0.890426476,0.503503746
39,0.2,0.967522216,0.588730951
40,0.2,0.990015333,0.609259383
41,0.2,0.916946568,0.611311153
42,0.2,0.981032923,0.622045144
43,0.2,0.988921886,0.681879756
44,0.2,0.988696054,0.623989908
45,0.2,0.880691637,0.56071049
46,0.2,0.905,0.632879704
47,0.2,0.879766083,0.504137204
48,0.2,0.948870269,0.611280948
49,0.2,0.973240401,0.627153951
50,0.2,0.875861116,0.552943749
51,0.2,0.9,0.609155507
52,0.2,0.916200247,0.60477068
53,0.2,0.933183041,0.649644616
54,0.2,0.838046791,0.486176164
55,0.2,0.911653368,0.554073616
56,0.2,0.90993099,0.63496078
57,0.2,0.975051555,0.744515281
58,0.2,0.879386698,0.613620636
59,0.2,0.963466899,0.548934267
60,0.2,0.849593151,0.535658189
61,0.2,0.905063134,0.534295343
62,0.2,0.93,0.610618411
63,0.2,0.972598422,0.63346211
64,0.2,0.969623691,0.614087094
65,0.2,0.888179763,0.538610505
66,0.2,0.976195308,0.550640196
67,0.2,0.970517236,0.598902043
68,0.2,0.864847425,0.509176929
69,0.2,0.9754777,0.57713997
70,0.2,0.874317173,0.587443263
71,0.2,0.881865814,0.606330189
72,0.2,0.919216123,0.540514793
73,0.2,0.963580253,0.656179593
74,0.2,0.939118502,0.541054363
75,0.2,0.986196801,0.669723754
76,0.2,0.991131675,0.724377728
77,0.2,0.884767126,0.5586211
78,0.2,0.989543438,0.62347439
79,0.2,0.969085382,0.70160584
80,0.2,0.954602589,0.603269164
81,0.2,0.960024854,0.652509447
82,0.2,0.94,0.547558216
83,0.2,0.910948359,0.641139671
84,0.2,0.902504932,0.538989591
85,0.2,0.850497184,0.588596005
86,0.2,0.921838453,0.582297627
87,0.2,0.977411784,0.589075843
88,0.2,0.915315694,0.66655093
89,0.2,0.896393731,0.517119617
90,0.2,0.97524772,0.648141655
91,0.2,0.856843584,0.51828994
92,0.2,0.97755611,0.726575979
93,0.2,0.879698967,0.612808549
94,0.2,0.826567989,0.567514514
95,0.2,0.981347915,0.534809024
96,0.2,0.944465732,0.68823502
97,0.2,0.997731318,0.615732287
98,0.2,0.964814727,0.622378886
99,0.2,0.987868925,0.655080884
100,0.2,0.91552435,0.626871164
